time,n_source,od,fluorescence,phi,growth_rate,production_rate
0,Ace,0.084533333,5.666666667,68.20526646,-0.000676583,-6.140419104
0.274722222,Ace,0.084516667,7.166666667,90.7217683,0.019029497,23.45098853
0.549444444,Ace,0.083733333,7.5,95.85034744,0.064768754,-11.228627
0.823888889,Ace,0.083133333,7.666666667,99.68817434,0.020602319,-6.345741373
1.098611111,Ace,0.084233333,8,102.1004282,0.005581594,-6.152874315
1.373333333,Ace,0.084333333,8,102.5353968,-0.004418486,6.299662338
1.647777778,Ace,0.086,8,100.3380179,0.064761058,-12.07925879
1.9225,Ace,0.0857,7.666666667,96.2738733,0.01498442,6.01262049
2.197222222,Ace,0.0866,7.666666667,94.74667886,-0.009306612,0.205322365
2.471666667,Ace,0.08705,7.5,92.85869175,0.039354083,-6.018706139
2.746388889,Ace,0.0876,7.5,91.98893496,-0.002705919,-8.088978766
3.021111111,Ace,0.088083333,7.666666667,93.26468568,0.018175523,14.14755283
3.295555556,Ace,0.088416667,7.666666667,92.79996051,-0.020880311,-13.90509925
3.570277778,Ace,0.0881,7.5,91.48169406,0.033457352,8.075630976
3.845,Ace,0.089,7.5,90.39221726,0.047069971,-8.046066412
4.119444444,Ace,0.0887,7.5,90.88966506,-0.046239199,8.195512138
4.394166667,Ace,0.089216667,7.333333333,88.2311301,0.044570271,-5.895757118
4.668888889,Ace,0.088916667,7.333333333,88.11821354,-0.052341103,13.83452074
4.943333333,Ace,0.0887,7.5,91.13717279,0.041488896,-14.04044561
5.218055556,Ace,0.09,7.333333333,87.03308365,0.022784246,-13.635467
5.492777778,Ace,0.09005,7.333333333,87.09946854,0.009141828,13.83363411
5.767222222,Ace,0.091066667,7.166666667,85.40152405,-0.026865326,5.707181632
6.041944444,Ace,0.090066667,7.333333333,88.09437097,0.009002576,7.951158683
6.316666667,Ace,0.0905,7.5,88.91007721,-0.000145082,-7.948788605
6.591111111,Ace,0.090616667,7.333333333,86.17948801,0.032970178,0
6.865833333,Ace,0.09045,7.5,88.64931527,-0.058645035,-13.71752177
7.140555556,Ace,0.090566667,7.666666667,90.83156381,0.044532496,7.83031719
7.415,Ace,0.09115,7.166666667,85.05944495,0.016836744,-13.53540452
7.689722222,Ace,0.090316667,7.5,88.9541654,0.027083346,5.621563987
7.964444444,Ace,0.090533333,7.333333333,87.28147026,0.021075354,4.241821018
8.238888889,Ace,0.091633333,6.833333333,80.36164444,-0.037916386,9.667287227
8.513611111,Ace,0.091633333,7.333333333,86.29251819,0.054492804,1.887588259
8.788055556,Ace,0.091183333,7,82.69290677,-0.015508697,1.73797419
9.062777778,Ace,0.091983333,7.333333333,85.25950145,0.026841287,0.061488891
9.3375,Ace,0.092983333,7.333333333,85.04041214,0.021873241,-30.27136595
9.611944444,Ace,0.0927,7,82.46189971,-0.045739871,18.90564966
9.886666667,Ace,0.092933333,7.333333333,84.71992478,0.003193492,7.848297639
10.16138889,Ace,0.093083333,8,91.96699256,0.032166335,-20.55414299
10.43583333,Ace,0.093033333,7.833333333,89.9294559,0.042586942,7.0922139
10.71055556,Ace,0.093183333,7,80.61748344,0.014942736,-5.435077666
10.98527778,Ace,0.094333333,7.166666667,81.37231179,0.02646829,5.858919827
11.25972222,Ace,0.093716667,7.166666667,82.29803463,0.008382411,-5.614405897
11.53444444,Ace,0.094366667,7,79.7259838,-0.075109378,3.867414815
11.80916667,Ace,0.094533333,7,79.74046159,0.043293309,3.51573269
12.08361111,Ace,0.094583333,7.166666667,80.44336381,0.028737162,-0.026457426
12.35833333,Ace,0.095133333,7,78.79418741,0.019830223,3.932244066
12.63305556,Ace,0.095933333,7.166666667,79.41912383,-0.026407423,5.970355815
12.9075,Ace,0.09605,7.333333333,81.20116341,0.069180741,1.954413315
13.18222222,Ace,0.096266667,7.5,83.20510641,-0.025784185,0.036266942
13.45694444,Ace,0.095866667,7.333333333,81.79367567,-0.002534319,5.52046993
13.73138889,Ace,0.09665,7.5,82.64177202,0.008037292,0.042361755
14.00611111,Ace,0.096633333,7.333333333,80.17508754,0.028547147,-7.402310411
14.28083333,Ace,0.096183333,7.833333333,86.89510019,0.023912819,13.21888722
14.55527778,Ace,0.0971,7.833333333,85.76310382,-0.00698079,1.698008043
14.83,Ace,0.097333333,7.666666667,83.09419997,0.046257842,18.54114428
15.10472222,Ace,0.097783333,7.5,80.91687367,-0.009157898,-7.229612493
15.37916667,Ace,0.098566667,7.833333333,83.97556139,-0.013119632,-5.293834271
15.65388889,Ace,0.098183333,8,85.29510444,0.03945408,13.89139355
15.92861111,Ace,0.098616667,8.166666667,87.77951073,NA,NA
16.20305556,Ace,0.099433333,8,84.70848159,NA,NA
16.47777778,Ace,0.099,8.166666667,86.81893089,NA,NA
16.75222222,Ace,0.099533333,8.333333333,88.33901018,NA,NA
17.02694444,Ace,0.099016667,8.333333333,88.43436951,NA,NA
17.30166667,Ace,0.100283333,8.333333333,88.22013483,NA,NA
0,Ace caa,0.0914,7.666666667,85.40870976,0.032077097,1.971764254
0.274722222,Ace caa,0.089383333,9,105.9439368,0.065499867,-2.40665018
0.549444444,Ace caa,0.090066667,9.5,111.8565859,0.011222959,0.208200383
0.823888889,Ace caa,0.090983333,9.5,111.0558057,0.060486736,-0.168403285
1.098611111,Ace caa,0.091266667,9.833333333,113.4429972,0.042441919,8.411076425
1.373333333,Ace caa,0.093116667,9.833333333,112.3180597,0.069967335,14.77730481
1.647777778,Ace caa,0.093866667,9.666666667,108.491846,0.007292055,-0.042186768
1.9225,Ace caa,0.094783333,9.666666667,107.76636,0.066116656,0.208507316
2.197222222,Ace caa,0.095883333,9.666666667,106.551883,-0.004890007,-0.137001142
2.471666667,Ace caa,0.097516667,10,108.8635831,0.009346794,-5.473323255
2.746388889,Ace caa,0.09745,9.666666667,104.7763081,0.069967135,-1.953144847
3.021111111,Ace caa,0.0991,10.5,111.0503579,0.006322926,-4.264872319
3.295555556,Ace caa,0.098933333,10,106.7092886,0.0374761,-7.452990264
3.570277778,Ace caa,0.100433333,10,104.9891037,-0.011145836,18.8550118
3.845,Ace caa,0.100666667,9.833333333,103.1474536,0.060591043,-5.331049275
4.119444444,Ace caa,0.102,10,103.2254028,-0.023365662,5.239753662
4.394166667,Ace caa,0.1028,10,101.7564839,0.039764314,-5.185242799
4.668888889,Ace caa,0.1027,9.833333333,100.6722431,0.048854221,0
4.943333333,Ace caa,0.102116667,10,103.0048587,0.002002365,0
