time,Chloramphenichol,od,fluorescence,phi,growth_rate,production_rate,od_se,fluorescence_se,phi_se,growth_rate_se,production_rate_se
0,0,0.095166667,7.333333333,77.09326218,0.682130229,2927.325482,0.000448454,0.333333333,3.87219452,0.111883872,320.4547249
0.271666667,0,0.095633333,8,83.66765975,0.862234814,3506.620272,0.000898765,0,0.788444496,0.106428919,333.2716047
0.543333333,0,0.100033333,14.33333333,143.2767975,0.99397519,3816.334619,0.000766667,0.333333333,2.920485411,0.06890716,306.7640615
0.814722222,0,0.108633333,50.66666667,466.3878986,0.993974945,4045.00979,0.000973539,1.763834207,15.35320404,0.04604031,299.1880806
1.086388889,0,0.1208,111.6666667,924.4835735,1.030385076,3953.309804,0.000907377,1.763834207,15.66368469,0.007382175,139.4214811
1.358055556,0,0.138533333,188.3333333,1359.537523,0.843706424,3597.76272,0.000868588,1.855921454,13.50633645,0.036209211,151.9302608
1.629444444,0,0.1615,278,1721.54386,0.783031065,3352.762107,0.001115049,2.081665999,18.28482308,0.043567853,97.84510874
1.901111111,0,0.188733333,382.6666667,2027.770941,0.658044597,2848.482749,0.001270608,2.728450924,21.50892953,0.039877291,40.03667817
2.172777778,0,0.2195,502.3333333,2289.390427,0.571418294,2416.286435,0.003041381,1.855921454,31.91533365,0.030231201,63.27609249
2.444166667,0,0.251233333,632.3333333,2517.213203,0.42457179,1885.583073,0.001732372,4.484541349,27.52869376,0.03421201,209.9389234
2.715833333,0,0.286166667,770.3333333,2692.768605,0.359317583,1479.183655,0.003464743,3.844187532,37.87738133,0.040218582,145.2652266
2.9875,0,0.317833333,918.3333333,2889.913748,0.261355247,981.7100749,0.00309426,1.855921454,29.22355373,0.040216214,242.7189324
3.258888889,0,0.353333333,1064.666667,3013.871513,0.219996953,501.5494802,0.003319304,4.409585518,36.71414198,0.016463936,284.714623
3.530555556,0,0.3869,1207,3119.888594,0.173352424,310.0295796,0.002218859,4.041451884,21.73947008,0.016789962,81.17350783
3.802222222,0,0.418733333,1347,3217.444135,0.147805507,59.83788254,0.003199132,9.848857802,43.24732649,0.017509797,120.1361911
