time,n_source,od,fluorescence,phi,growth_rate,production_rate,od_se,fluorescence_se,phi_se,growth_rate_se,production_rate_se
0,Ace,0.0476,5,104.9988989,0.018324527,142.9098814,1.00E-04,0.577350269,11.92661945,0.023179633,53.72349992
0.3425,Ace,0.045866667,11.33333333,247.4038625,0.006584155,171.4226799,0.000674125,0.333333333,10.89078155,0.0074675,58.37693604
0.685,Ace,0.045433333,13.33333333,293.8172136,-0.026096212,85.42021021,0.000666667,0.666666667,17.22197246,0.019862145,20.64019552
1.0275,Ace,0.0449,16.33333333,363.4806098,0.06944795,301.967478,0.000763763,0.666666667,9.006548451,0.002827042,53.68658172
1.37,Ace,0.044566667,17.33333333,389.0497233,0.01205774,175.2267356,0.000783865,0.333333333,7.323035989,0.029853517,23.49310132
1.7125,Ace,0.044966667,21,467.3761088,-0.108819358,155.8797095,0.000881917,0,9.268373646,0.041211038,125.6748054
2.055,Ace,0.0448,22,491.7459909,0.054336897,190.2828653,0.001159023,0,13.03757282,0.04150924,109.4628472
2.397222222,Ace,0.045266667,24.33333333,538.311893,0.018470714,258.7357025,0.000851143,0.666666667,22.74602621,0.051491741,74.22746259
2.739722222,Ace,0.045166667,28,620.6133771,-0.020002291,-23.37548076,0.001299145,0.577350269,16.56876734,0.019461747,153.543979
3.082222222,Ace,0.045533333,32.33333333,713.5868492,-0.041411006,221.8754011,0.00168951,0.881917104,46.95644273,0.046823045,289.3139874
3.424722222,Ace,0.044666667,33.66666667,755.2236888,0.068827763,1.258960128,0.001488101,0.881917104,29.89069281,0.05713478,427.894747
3.767222222,Ace,0.0452,37,819.4889863,-0.002583888,399.9375134,0.000986577,1,30.44340504,0.049764041,356.0537615
4.109722222,Ace,0.045533333,39,858.2878055,-0.012313406,105.1388297,0.001476859,0.577350269,30.05387328,0.070447109,361.5237311
4.452222222,Ace,0.045266667,43.33333333,958.3327259,0.051947181,648.7171503,0.001074451,0.333333333,22.98346979,0.039896963,204.2283584
4.794722222,Ace,0.044533333,38.66666667,869.1495319,0.045917173,-120.922786,0.000927961,0.333333333,22.40096989,0.090164772,264.8484307
5.137222222,Ace,0.044666667,50.33333333,1129.474897,-0.136894188,292.6428818,0.001645533,0.333333333,35.7773037,0.068960909,337.5796144
5.479722222,Ace,0.045366667,42.66666667,940.6411709,0.102885798,-30.01674333,0.001192104,1.666666667,28.83487158,0.042755817,364.3799699
5.822222222,Ace,0.0462,53.66666667,1164.553942,-0.025610491,297.1809379,0.001357694,0.666666667,50.02149968,0.072751183,472.6812725
6.164722222,Ace,0.046,62,1347.438961,0.054754972,-88.20019464,0.0006,1.527525232,16.14469603,0.017759441,277.4617799
6.507222222,Ace,0.046766667,63.66666667,1364.962508,-0.003021872,271.1378214,0.001732372,0.666666667,50.03347611,0.10587085,74.17522497
6.849444444,Ace,0.045566667,58,1272.856367,-0.080361695,107.4687246,0.00031798,1,20.05959033,0.057805209,77.44935458
7.191944444,Ace,0.045333333,72,1589.804397,0.021832051,430.0055201,0.000656591,2,62.87339743,0.013340745,142.5898253
7.534444444,Ace,0.046533333,63.33333333,1362.849696,0.101619164,217.0930509,0.000983757,1.333333333,49.7353029,0.070467598,373.2056907
7.876944444,Ace,0.047333333,67.33333333,1425.529422,-0.012652983,88.63097874,0.001555992,1.855921454,58.85384949,0.067896273,418.2847094
8.219444444,Ace,0.045266667,70.33333333,1553.974304,-0.022122178,236.1741833,0.000517472,0.666666667,15.69924006,0.0683009,453.8842476
8.561944444,Ace,0.045533333,72.66666667,1595.925187,0.002170951,83.11864338,0.000202759,1.201850425,26.22070795,0.024644567,302.0835307
8.904444444,Ace,0.0455,77,1692.201247,-0.08737172,172.9328436,0.000305505,1.154700538,18.34946046,0.074508055,142.3173516
9.246944444,Ace,0.047133333,90,1911.647157,0.122712861,411.3235659,0.001419311,2.081665999,53.59153319,0.04275465,126.1022518
9.589444444,Ace,0.0469,81.33333333,1734.050195,-0.000286404,20.12455043,0.000450925,1.452966315,21.06857301,0.02006891,148.4467206
9.931944444,Ace,0.047666667,84.66666667,1775.585803,0.004115994,489.615973,0.000296273,2.962731472,51.32159752,0.048828342,182.7745387
10.27444444,Ace,0.0455,92,2023.146033,-0.042389499,52.45093353,0.000953939,1.527525232,41.72382255,0.062141977,497.133235
10.61694444,Ace,0.046433333,93,2001.311353,0.044252894,438.9304183,0.001026861,3.785938897,40.28975602,0.047975878,515.7871049
10.95944444,Ace,0.047,99.33333333,2113.251912,-0.010449244,434.6930615,0.00140119,3.282952601,20.92887571,0.055871019,401.5261042
11.30194444,Ace,0.047033333,101,2148.001844,0.022167988,-88.10110258,0.000841295,4.041451884,84.31788212,0.040497311,461.5171771
11.64444444,Ace,0.047466667,103.3333333,2174.702297,-0.016445088,26.91113917,0.001443761,4.910306621,37.21679983,0.071304949,281.7956398
11.98666667,Ace,0.0468,107.3333333,2291.294832,0.012779853,320.6052475,0.001096966,5.456901848,74.19383989,0.049680723,188.6513304
12.32916667,Ace,0.0469,124.3333333,2654.55756,-0.06113265,134.9184601,0.001209683,6.437735972,153.8836818,0.029305552,374.2303473
12.67166667,Ace,0.047366667,115,2428.526867,-0.001041187,906.5693783,0.001562406,4.358898944,60.66543934,0.023687068,200.8292674
13.01416667,Ace,0.0479,123.6666667,2580.051763,0.045525463,324.8903895,0.001345362,5.456901848,59.91037021,0.039252259,531.8831798
13.35666667,Ace,0.046933333,121.3333333,2583.068098,0.078255112,-141.4373923,0.001244097,5.238744549,45.56083549,0.019015909,72.31685635
13.69916667,Ace,0.0472,119.6666667,2534.059024,0.005396647,106.4663499,0.00080829,3.929942041,44.47415464,0.044865232,435.6354122
14.04166667,Ace,0.0465,134,2880.424446,-0.04892002,91.67387956,0.001096966,6.244997998,101.220463,0.041754963,219.1598242
14.38416667,Ace,0.046866667,145.6666667,3100.642859,0.097259959,631.5290756,0.001583596,10.98989435,147.2611904,0.044879109,565.8262021
14.72666667,Ace,0.047666667,150.3333333,3152.977794,0.0410125,-73.28326596,0.001703265,6.119186584,31.1097569,0.002987286,144.3582039
15.06916667,Ace,0.0485,142.3333333,2935.27799,-0.059677881,32.77086778,0.0022,6.173419726,8.479783749,0.054124005,216.0114573
15.41166667,Ace,0.0476,143.3333333,3007.738224,0.043845511,904.5829992,0.001410674,7.264831573,71.5509888,0.028023408,513.7838337
15.75416667,Ace,0.048933333,155.6666667,3176.87523,-0.027931171,-326.6415813,0.001820562,8.987645842,75.02490755,0.054882081,439.5683634
16.09666667,Ace,0.049433333,159.6666667,3234.03691,-0.050610856,286.7990503,0.002302414,5.364492313,44.41707051,0.038894337,149.9383511
16.43916667,Ace,0.049,156.6666667,3196.878485,0.047986428,223.9764039,0.0019,6.359594676,18.32782377,0.010491955,112.2672262
16.78138889,Ace,0.050033333,170.6666667,3402.924529,0.037897151,88.70373392,0.002026765,13.8724347,177.5329373,0.068619847,109.1488602
17.12388889,Ace,0.050033333,166.3333333,3319.359868,-0.053536274,313.4875615,0.002720498,11.34802969,53.86732013,0.073734255,213.0288426
