time,n_source,od,fluorescence,phi,growth_rate,production_rate
0,Ace,0.0476,5,104.9988989,0.018324527,142.9098814
0.3425,Ace,0.045866667,11.33333333,247.4038625,0.006584155,171.4226799
0.685,Ace,0.045433333,13.33333333,293.8172136,-0.026096212,85.42021021
1.0275,Ace,0.0449,16.33333333,363.4806098,0.06944795,301.967478
1.37,Ace,0.044566667,17.33333333,389.0497233,0.01205774,175.2267356
1.7125,Ace,0.044966667,21,467.3761088,-0.108819358,155.8797095
2.055,Ace,0.0448,22,491.7459909,0.054336897,190.2828653
2.397222222,Ace,0.045266667,24.33333333,538.311893,0.018470714,258.7357025
2.739722222,Ace,0.045166667,28,620.6133771,-0.020002291,-23.37548076
3.082222222,Ace,0.045533333,32.33333333,713.5868492,-0.041411006,221.8754011
3.424722222,Ace,0.044666667,33.66666667,755.2236888,0.068827763,1.258960128
3.767222222,Ace,0.0452,37,819.4889863,-0.002583888,399.9375134
4.109722222,Ace,0.045533333,39,858.2878055,-0.012313406,105.1388297
4.452222222,Ace,0.045266667,43.33333333,958.3327259,0.051947181,648.7171503
4.794722222,Ace,0.044533333,38.66666667,869.1495319,0.045917173,-120.922786
5.137222222,Ace,0.044666667,50.33333333,1129.474897,-0.136894188,292.6428818
5.479722222,Ace,0.045366667,42.66666667,940.6411709,0.102885798,-30.01674333
5.822222222,Ace,0.0462,53.66666667,1164.553942,-0.025610491,297.1809379
6.164722222,Ace,0.046,62,1347.438961,0.054754972,-88.20019464
6.507222222,Ace,0.046766667,63.66666667,1364.962508,-0.003021872,271.1378214
6.849444444,Ace,0.045566667,58,1272.856367,-0.080361695,107.4687246
7.191944444,Ace,0.045333333,72,1589.804397,0.021832051,430.0055201
7.534444444,Ace,0.046533333,63.33333333,1362.849696,0.101619164,217.0930509
7.876944444,Ace,0.047333333,67.33333333,1425.529422,-0.012652983,88.63097874
8.219444444,Ace,0.045266667,70.33333333,1553.974304,-0.022122178,236.1741833
8.561944444,Ace,0.045533333,72.66666667,1595.925187,0.002170951,83.11864338
8.904444444,Ace,0.0455,77,1692.201247,-0.08737172,172.9328436
9.246944444,Ace,0.047133333,90,1911.647157,0.122712861,411.3235659
9.589444444,Ace,0.0469,81.33333333,1734.050195,-0.000286404,20.12455043
9.931944444,Ace,0.047666667,84.66666667,1775.585803,0.004115994,489.615973
10.27444444,Ace,0.0455,92,2023.146033,-0.042389499,52.45093353
10.61694444,Ace,0.046433333,93,2001.311353,0.044252894,438.9304183
10.95944444,Ace,0.047,99.33333333,2113.251912,-0.010449244,434.6930615
11.30194444,Ace,0.047033333,101,2148.001844,0.022167988,-88.10110258
11.64444444,Ace,0.047466667,103.3333333,2174.702297,-0.016445088,26.91113917
11.98666667,Ace,0.0468,107.3333333,2291.294832,0.012779853,320.6052475
12.32916667,Ace,0.0469,124.3333333,2654.55756,-0.06113265,134.9184601
12.67166667,Ace,0.047366667,115,2428.526867,-0.001041187,906.5693783
13.01416667,Ace,0.0479,123.6666667,2580.051763,0.045525463,324.8903895
13.35666667,Ace,0.046933333,121.3333333,2583.068098,0.078255112,-141.4373923
13.69916667,Ace,0.0472,119.6666667,2534.059024,0.005396647,106.4663499
14.04166667,Ace,0.0465,134,2880.424446,-0.04892002,91.67387956
14.38416667,Ace,0.046866667,145.6666667,3100.642859,0.097259959,631.5290756
14.72666667,Ace,0.047666667,150.3333333,3152.977794,0.0410125,-73.28326596
15.06916667,Ace,0.0485,142.3333333,2935.27799,-0.059677881,32.77086778
15.41166667,Ace,0.0476,143.3333333,3007.738224,0.043845511,904.5829992
15.75416667,Ace,0.048933333,155.6666667,3176.87523,-0.027931171,-326.6415813
16.09666667,Ace,0.049433333,159.6666667,3234.03691,-0.050610856,286.7990503
16.43916667,Ace,0.049,156.6666667,3196.878485,0.047986428,223.9764039
16.78138889,Ace,0.050033333,170.6666667,3402.924529,0.037897151,88.70373392
17.12388889,Ace,0.050033333,166.3333333,3319.359868,-0.053536274,313.4875615
17.46638889,Ace,0.0485,167.6666667,3451.775548,0.102068663,377.7109234
17.80888889,Ace,0.0488,175,3580.750752,-0.049032499,342.9983065
18.15138889,Ace,0.0498,176.6666667,3545.715763,-0.04878789,717.4416325
18.49388889,Ace,0.0492,179.3333333,3640.896649,0.064779335,-291.1258851
18.83638889,Ace,0.050566667,184.3333333,3642.483845,0.042446499,511.484707
19.17888889,Ace,0.050066667,188.3333333,3765.760536,-0.050382398,-346.2253299
19.52138889,Ace,0.049066667,202,4106.610256,0.009658073,402.7708069
19.86388889,Ace,0.050433333,204,4037.058005,NA,NA
20.20638889,Ace,0.050066667,208.6666667,4170.662712,NA,NA
20.54888889,Ace,0.049966667,211,4212.418875,NA,NA
20.89138889,Ace,0.0506,209.3333333,4124.126881,NA,NA
21.23388889,Ace,0.049866667,215,4298.684842,NA,NA
21.57611111,Ace,0.0511,216,4223.287022,NA,NA
0,Ace caa,0.0708,5.666666667,80.1827577,0.010671063,259.3683923
0.3425,Ace caa,0.070066667,12,171.1458473,0.023788301,277.453387
0.685,Ace caa,0.0707,14.66666667,207.7408324,0.037287096,380.9592958
1.0275,Ace caa,0.071,17.66666667,248.9149688,0.055831486,644.6403038
1.37,Ace caa,0.0718,19,264.9963212,0.030287967,434.1122561
1.7125,Ace caa,0.0722,23.66666667,328.0185667,0.028311627,660.6102208
2.055,Ace caa,0.072633333,32.33333333,445.2124353,-0.015790277,761.2663748
2.397222222,Ace caa,0.073733333,41.66666667,565.0534016,0.039548492,607.2994366
2.739722222,Ace caa,0.0741,55,742.1932683,0.041445322,463.2975068
3.082222222,Ace caa,0.075266667,71,943.417669,-0.010884125,822.1096231
3.424722222,Ace caa,0.0769,86.33333333,1124.971616,0.00356309,724.7853431
3.767222222,Ace caa,0.076066667,102.3333333,1346.132191,0.07173898,745.3025544
