time,Hg,od,fluorescence,phi,growth_rate,production_rate,od_se,fluorescence_se,phi_se,growth_rate_se,production_rate_se
0,0,0.010122222,7.444444444,729.1962789,4.53656475,-89.21913718,0.000564894,1.788164104,170.709752,0.66827808,130.4392017
0.270833333,0,0.012433333,5.333333333,429.1096264,4.882465316,190.3098573,0.00052731,0.866025404,68.84681665,0.598944805,67.37278641
0.541666667,0,0.018222222,6.777777778,373.3358975,3.526554608,69.16340715,0.00026811,1.244742028,68.92936897,0.454604857,47.50314155
0.812222222,0,0.026377778,7,268.5969265,2.65987641,16.41585757,0.000687745,1.509230856,59.1486787,0.379303439,55.24935874
1.083055556,0,0.038866667,7.666666667,201.6697964,1.859332868,-55.49840063,0.000922406,1.67497927,46.32007906,0.222057866,22.5221691
1.353888889,0,0.0514,7.888888889,152.1114213,1.337269657,48.12364871,0.000853099,1.821510701,34.33282979,0.122421403,27.18572172
1.624722222,0,0.064733333,8.111111111,124.156043,1.152619049,12.27327254,0.000859748,1.903537967,28.27873907,0.055922676,27.71640576
1.895555556,0,0.080522222,8.666666667,105.2585871,0.923543743,-19.57306882,0.00151252,1.848422751,20.73866048,0.046957205,17.37655542
2.166388889,0,0.098255556,8.555555556,84.35037232,0.678287712,9.293221975,0.002274625,1.871653392,16.58044738,0.085335249,12.37298941
2.436944444,0,0.119388889,8.222222222,66.42685467,0.565298136,5.585177257,0.00302069,1.869178205,13.53414584,0.042400381,9.663732305
2.707777778,0,0.142622222,8.222222222,54.75999305,0.414756851,25.71443404,0.004384689,2.203392446,13.30257229,0.049562848,17.40465679
2.978611111,0,0.166466667,8.555555556,49.37680547,0.317889993,13.35691623,0.00530605,1.965756224,9.95890026,0.022826887,23.66544849
3.249444444,0,0.189255556,9.111111111,46.05724723,0.237313894,-0.604653496,0.006685081,2.07126132,8.979349771,0.011029923,24.88624725
3.520277778,0,0.207266667,8.777777778,40.26030447,0.209019436,14.85564987,0.007966771,2.07349529,8.203579581,0.016371342,18.6477057
3.790833333,0,0.225433333,9.222222222,38.92907692,0.158532339,5.774331855,0.009630103,1.956312985,6.643665497,0.006846657,16.46317528
4.061666667,0,0.241822222,9.666666667,38.12207433,0.138313365,6.781522382,0.011208575,1.848422751,5.529326996,0.007830982,15.86021716
4.3325,0,0.254977778,9.888888889,37.02620679,0.115214712,-1.036555143,0.012489682,1.798490451,4.91955373,0.008261777,11.60766087
4.603333333,0,0.263933333,9.666666667,34.79404137,0.11434946,9.558739047,0.012615004,1.92930615,5.312490513,0.010900983,4.209866027
4.874166667,0,0.276144444,10.77777778,37.36277055,0.092089257,0.553162797,0.013735357,1.824050573,4.390007115,0.008379019,5.32478973
