time,Chloramphenichol,od,fluorescence,phi,growth_rate,production_rate,od_se,fluorescence_se,phi_se,growth_rate_se,production_rate_se
0,0,0.093166667,12,128.7063185,0.844889521,209.9939868,0.000902466,0.577350269,4.96712301,0.124172361,120.6116356
0.286666667,0,0.097233333,2.666666667,27.41417219,1.11997637,130.5967978,0.0002848,0.333333333,3.387955885,0.089407247,206.6900376
0.573611111,0,0.104066667,2.333333333,22.41144371,1.274370029,189.5995601,0.000202759,0.333333333,3.162166601,0.085299542,193.9082273
0.860277778,0,0.115166667,3,26.04931301,1.416522991,181.141168,0.000166667,0.577350269,5.020578248,0.080178972,191.8148732
1.147222222,0,0.130633333,4,30.63197173,1.294811235,169.5940833,0.000218581,0.577350269,4.464999863,0.043528531,201.5106114
1.433888889,0,0.154966667,7.333333333,47.36048618,1.207616335,149.1910171,0.001270608,0.881917104,5.806352458,0.040819352,137.8034205
1.720555556,0,0.186033333,21.33333333,114.5536755,1.022510561,131.9326509,0.003068297,1.201850425,5.030084574,0.008128808,64.63325704
2.0075,0,0.2243,16.33333333,72.62128017,0.842161735,124.6380898,0.00495715,1.763834207,6.861820478,0.053703204,10.07400143
2.294166667,0,0.270033333,21.66666667,80.02977502,0.664565973,160.4371123,0.006416212,2.02758751,6.133046002,0.031041899,29.94111898
2.581111111,0,0.322733333,39.33333333,121.7992697,0.502813664,156.1821761,0.007981715,2.962731472,8.1402668,0.056620696,48.44969129
2.867777778,0,0.3737,36,96.02026239,0.450847248,140.1965949,0.009991163,3.511884584,7.441085007,0.034253964,23.7598264
3.154444444,0,0.431233333,45.66666667,105.7591762,0.343491042,185.0648335,0.012386058,4.333333333,9.006776945,0.034814229,35.03450118
3.441388889,0,0.484866667,55,113.2040989,0.279829432,132.9063401,0.012916312,5.131601439,9.062080445,0.004757909,45.11466094
3.728055556,0,0.5363,62.66666667,116.787965,0.144444795,163.5263492,0.016422647,5.238744549,8.962449775,0.059457927,46.16795867
4.015,0,0.586333333,81,138.2620134,0.128261646,184.4996585,0.018875234,6.658328118,11.53716218,0.032086914,41.5450962
4.301666667,0,0.6311,96,152.1471012,0.06789582,144.5272111,0.023358296,5.507570547,7.353321534,0.04133654,35.33483026
