time,n_source,od,fluorescence,phi,growth_rate,production_rate,od_se,fluorescence_se,phi_se,growth_rate_se,production_rate_se
0,Ace,0.078633333,6,76.30618636,0.077599545,24.65457943,0.000328295,0,0.319512233,0.046295579,12.32735646
0.3425,Ace,0.077433333,12,155.0087353,-0.021816129,-12.54170116,0.000841295,0,1.689790402,0.021816129,12.54170116
0.685,Ace,0.0764,14,183.4516337,-0.062672542,11.64170522,0.001800926,0,4.361271764,0.057802477,25.79393729
1.0275,Ace,0.0765,15.33333333,200.9379447,0.110142008,0.508025133,0.002122106,0.333333333,9.496625272,0.081319455,22.6215759
1.37,Ace,0.0778,16,206.4194921,-0.003607216,12.54170116,0.003350124,0,8.879005196,0.020087226,12.54170116
1.7125,Ace,0.0796,16.66666667,210.1517157,-0.097980933,-11.62767037,0.002858321,0.333333333,11.04579916,0.057925982,11.62767037
2.055,Ace,0.0785,16.66666667,212.8639204,-0.023360577,24.0602595,0.002400694,0.333333333,9.644224618,0.046086526,12.03015732
2.397222222,Ace,0.0778,17,219.3627064,-0.010068208,-26.0750508,0.003438507,0,9.6674256,0.066412242,13.06396709
2.739722222,Ace,0.0802,16.33333333,204.27962,-0.026097572,13.27743533,0.003455913,0.333333333,8.027178199,0.064362415,13.27743533
3.082222222,Ace,0.079566667,16.66666667,210.52267,0.003368975,0,0.00353522,0.333333333,12.39952931,0.063114435,0
3.424722222,Ace,0.077566667,17,219.5954763,-0.073752121,11.89775073,0.0024251,0,6.866807901,0.04543054,11.89775073
3.767222222,Ace,0.075,17.33333333,231.4370348,0.027556396,0.595894251,0.001992486,0.333333333,7.484910435,0.050478456,21.99188963
4.109722222,Ace,0.077433333,17,219.942847,0.163902687,12.78783713,0.002321159,0,6.660514343,0.06912553,25.15960909
4.452222222,Ace,0.0749,16.66666667,222.5734356,-0.066711178,-12.49340192,0.001587451,0.333333333,3.194371003,0.020208605,12.49340192
4.794722222,Ace,0.0741,17.33333333,234.1648113,-0.080120418,25.79266992,0.001677299,0.333333333,6.995349493,0.001502388,12.90501971
5.137222222,Ace,0.074233333,17,229.1240987,0.000973738,-12.32773983,0.00117804,0,3.669793792,0.150610616,26.44039297
5.479722222,Ace,0.0778,17.66666667,227.6940376,-0.012312721,10.76837897,0.003536005,0.333333333,7.213121833,0.140457163,25.59513336
5.822222222,Ace,0.077066667,17,221.4619702,0.063122574,0,0.003361713,0,10.0183604,0.073246802,0
6.164722222,Ace,0.0767,17.66666667,230.6875339,-0.07180602,-12.54170116,0.001929594,0.333333333,8.221850934,0.031308781,12.54170116
6.507222222,Ace,0.073266667,17.66666667,241.1736397,-0.009641902,0,0.00111704,0.333333333,4.324688832,0.035349677,0
6.849444444,Ace,0.075933333,17.66666667,233.8433646,0.032561456,11.94154613,0.003263093,0.333333333,13.87006638,0.006614454,11.94154613
