time,Chloramphenichol,od,fluorescence,phi,growth_rate,production_rate,od_se,fluorescence_se,phi_se,growth_rate_se,production_rate_se
0,0,0.086233333,6,69.73646442,0.506987174,1957.663268,0.002947504,0,2.308478357,0.074264053,280.2845743
0.286666667,0,0.0917,6,65.43738782,0.461383194,2281.39406,0.000650641,0,0.467588047,0.013937608,249.3345885
0.573611111,0,0.097166667,10.33333333,106.3115257,0.557494458,2593.924213,0.000726483,0.333333333,2.699658604,0.120502727,246.2992009
0.860277778,0,0.104166667,31,297.5942384,0.649918073,3010.00651,0.000581187,0.577350269,5.100125477,0.055288477,257.0911272
1.147222222,0,0.113766667,68.66666667,603.7672563,0.597965742,3157.117895,0.001283658,0.881917104,11.35601902,0.026054584,254.8879081
1.433888889,0,0.124666667,117.3333333,941.4195771,0.64252237,3231.872947,0.001354417,0.881917104,13.12764559,0.073854845,269.8948133
1.720555556,0,0.1372,177,1290.442745,0.494302965,2792.170286,0.002007486,1,12.50858036,0.036874159,126.9378993
2.0075,0,0.152233333,251.6666667,1653.305062,0.464008604,2595.024383,0.00171885,2.333333333,10.77145482,0.067808485,379.3274582
2.294166667,0,0.172433333,338,1960.721102,0.487441279,2778.667773,0.002828624,4.163331999,24.39292101,0.105828326,278.5137461
2.581111111,0,0.195533333,442.3333333,2263.315602,0.307976367,1475.803067,0.004539212,6.064468466,26.78514648,0.01503714,190.6612115
2.867777778,0,0.2171,561.3333333,2587.249088,0.226628272,1520.727962,0.003617089,1.452966315,49.59063318,0.043533294,481.6046438
3.154444444,0,0.237866667,679,2855.741837,0.222789504,846.3647131,0.006249622,12.52996409,24.82837205,0.01660753,263.5104631
3.441388889,0,0.2605,796.3333333,3064.044847,0.22336268,492.2106827,0.011828919,15.24612883,78.69321205,0.013811791,378.8092328
3.728055556,0,0.2797,905.6666667,3246.433992,0.167879542,-100.6718915,0.010175624,15.60270632,130.0332937,0.045761566,321.7138892
4.015,0,0.2972,1033.333333,3482.783295,0.171273851,-371.3998074,0.011000152,15.10334768,82.38827347,0.004884503,114.8434361
4.301666667,0,0.311666667,1117,3590.558084,0.039508451,-873.9945118,0.012386058,23.96525262,99.00050434,0.035227111,301.4470471
4.588333333,0,0.328133333,1159.666667,3540.386223,0.048838131,-973.0435915,0.013494361,25.00888731,85.11509365,0.038330183,96.14412468
4.875277778,0,0.342733333,1214.666667,3550.395957,0.124224183,-661.7591576,0.013062074,25.30041721,101.1319729,0.010131578,94.53518794
5.161944444,0,0.3588,1198.666667,3344.870933,0.079474061,-725.7634237,0.012413434,25.07544173,74.74922743,0.02207241,36.09722826
5.448888889,0,0.3687,1162.666667,3155.476863,0.08303945,-742.6156304,0.01190014,29.46372534,52.53052518,0.003581801,29.18530836
5.735555556,0,0.372633333,1071.333333,2877.542169,0.071785872,-750.3958177,0.009753689,10.3494498,48.75514219,0.002119844,38.57754691
6.022222222,0,0.378866667,997,2633.236878,0.069738273,-762.6662456,0.012284181,22.5905585,28.51132071,0.01053947,60.753098
6.309166667,0,0.390666667,922.3333333,2362.218038,0.063471104,-781.883717,0.011935987,19.93600874,22.41104548,0.012064865,133.7719963
6.595833333,0,0.4015,851,2120.76157,0.050669565,-545.5115804,0.01168432,17.0098011,23.99085825,0.005194083,63.37343824
6.8825,0,0.4082,772.6666667,1893.464413,0.052277628,-391.4114052,0.01186353,18.22391591,11.13935449,0.003605187,52.87378546
7.169444444,0,0.415933333,694.6666667,1670.427544,0.054649546,-319.5275474,0.012167215,18.27870649,5.727953453,0.007546437,36.34484625
7.456111111,0,0.424166667,603.3333333,1423.649982,0.053194389,-243.1475842,0.011856972,7.356025497,22.83947324,0.009402689,21.50403218
7.743055556,0,0.429166667,515,1200.212913,0.033094135,-220.9367217,0.011948826,13.0128142,7.811128466,0.014095175,30.18983855
8.029722222,0,0.4368,455.6666667,1042.98442,0.030947748,-137.3245027,0.01184286,14.24000624,5.966586118,0.008848078,24.52821688
8.316388889,0,0.442433333,407.3333333,920.3048997,0.038376061,-122.8983635,0.011556432,13.9084307,8.054638587,0.002011184,15.62648435
8.603333333,0,0.4492,373,829.9234105,0.036373235,-71.55054683,0.01177469,13.65039682,8.448618226,0.004775732,22.84614625
8.89,0,0.454766667,341,749.491442,0.025617,-63.45016484,0.012088608,12.12435565,6.853620052,0.00359889,8.356845171
9.176944444,0,0.461466667,316,684.2782118,0.03561387,-40.1460849,0.012097704,12.76714533,9.65103047,0.004472589,8.642738835
9.463611111,0,0.464266667,297.3333333,640.0174165,0.033343047,-26.78716578,0.012954064,11.92103649,7.833134937,0.007917293,16.52455781
9.750277778,0,0.468466667,283.3333333,604.4055728,0.025393649,13.39707822,0.013590233,11.56623438,7.062624907,0.003524953,28.66097254
10.03722222,0,0.4734,272.6666667,575.5626818,0.02597187,10.46587685,0.013390668,11.25956384,7.345347775,0.004380254,39.78661136
10.32388889,0,0.477266667,266.6666667,558.375927,0.021395765,7.830212601,0.01422982,10.9138037,6.146154208,0.005930785,39.23560661
10.61083333,0,0.480566667,259.6666667,540.0177946,0.021316844,-10.86352298,0.014353668,10.3655412,5.365359603,0.004972166,22.90589939
10.8975,0,0.485866667,256.3333333,527.266212,0.012807607,48.92579678,0.013815249,10.03881356,5.651118169,0.007193642,25.64831524
11.18416667,0,0.489166667,256.3333333,523.723711,0.022179443,36.27495462,0.014299689,10.03881356,5.166401759,0.009688938,18.95713732
11.47111111,0,0.493266667,266,539.0550442,0.011021575,60.23971912,0.014524615,9.609023537,3.516937353,0.003149166,18.57878277
11.75777778,0,0.495533333,258,520.3919532,0.010691715,-5.035531861,0.014223494,9.712534856,4.740315276,0.003430628,22.77210828
12.04472222,0,0.498266667,259.6666667,520.9245696,0.003297252,22.72552183,0.014544338,9.701088141,5.897427002,0.007773869,22.43201886
12.33138889,0,0.5002,263.6666667,526.9888945,0.015052596,-59.91562842,0.01478524,8.969082698,2.733616949,0.007650691,77.14936008
12.61805556,0,0.503366667,276,548.0747411,-0.009499247,-126.050051,0.013960579,10.0166528,5.965824465,0.007284149,32.34341003
